statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,screen_name_likelihood
337664,10872,11470,68,11,True,True,False,20.34568965478284,0.6550841603688846,0.6911161993590054,0.004097288714595673,0.0006627967038316529,0.9478639930252833,15,1,45,0,100,0.000781674931672728
5564,771,393,8308,15,True,True,False,1.2394506478305283,0.1717499010563151,0.08754566941002832,1.850710996077647,0.0033414377637415392,1.9618320610687023,13,0,7,0,92,0.002712486322057976
462,37,77,346,0,True,True,False,0.04981033916732039,0.003989139716863321,0.008301723194553398,0.03730384708201917,0.0,0.4805194805194805,7,0,7,0,11,0.0008192613652012111
248,0,0,0,0,True,True,False,-10.579703275347205,-0.0,-0.0,-0.0,-0.0,0.0,15,8,18,0,22,0.0004961490670988964
341,170765,2,24,526,True,True,True,0.04919592751014546,24.636195194340146,0.00028853916428237805,0.003462469971388537,0.07588580020626544,85382.5,11,0,24,0,161,0.0003748332520855681
80223,70,563,141162,0,True,True,False,1.4104828107645304,0.001230741766744165,0.009898680209670926,2.481913846816283,0.0,0.12433392539964476,14,0,28,0,110,0.0014444479355558686
1000,6,9,1238,0,True,True,False,266.23280579795886,1.5973968347877532,2.39609525218163,329.5962135778731,0.0,0.6666666666666666,15,4,11,0,63,0.0014525348622418763
215,191,1,215,0,True,True,False,0.33328180526783324,0.2960782549123542,0.0015501479314782942,0.33328180526783324,0.0,191.0,11,0,12,0,3,0.0012638796756264303
38312,18,169,24506,0,True,True,False,0.9182301532422796,0.00043140903002612845,0.00405045144857865,0.5873394272122391,0.0,0.10650887573964497,10,0,10,0,8,0.0016228290562674123
278831,401,179,8330,7,True,True,False,5.417328832901105,0.007790915866576324,0.003477740499045292,0.16184121987177252,0.00013600102510232984,2.2402234636871508,14,0,9,0,40,0.0016483226933103551
1922,135,124,5799,1,True,True,False,0.03897898626355782,0.0027378580362020324,0.002514773307326311,0.11760621297730063,2.0280429897792832e-05,1.0887096774193548,12,0,1,0,15,0.002568939764569841
2686,577,4889,4816,1,True,True,False,0.14822000111928357,0.03184026085101512,0.26978688960244873,0.26575857237173106,5.518242781805047e-05,0.1180200449989773,14,6,12,0,26,0.000497345801320472
2297,236,785,2111,0,True,True,False,1.9863660133764787,0.20408462305478842,0.6788408012627496,1.825519657918044,0.0,0.3006369426751592,13,1,13,1,108,0.0025606081948606352
6711,75,214,15085,0,True,True,False,0.1906860357846266,0.0021310464437262694,0.006080585852765622,0.4286244747148103,0.0,0.35046728971962615,15,1,14,0,20,0.0016975896934700095
72682,1481,3978,92913,28,False,True,False,0.6328800235921567,0.012895838239729012,0.034638517567617835,0.8090418760080633,0.00024381058116975852,0.37229763700351937,8,1,10,0,138,0.0005285001402366451
8546,1093,913,26317,3,True,True,False,1.074580322832352,0.13743462354970287,0.11480129121763835,3.30911892768301,0.0003772222055344086,1.1971522453450165,13,0,6,0,36,0.0018493011476794726
73788,1045,5001,177326,7,False,True,False,1.7855666694221708,0.02528754227714762,0.12101722385456004,4.291041839078927,0.0001693902353493142,0.20895820835832835,14,0,15,1,143,0.004089827189066845
3999,6,599,7555,0,True,True,False,0.07325969225616596,0.00010991701763865863,0.010973382260926085,0.13840384471001096,0.0,0.01001669449081803,10,4,21,0,21,0.000253916687918936
2080,0,3,0,0,True,True,False,0.8187558956055617,0.0,0.0011808979263541754,0.0,0.0,0.0,9,0,6,0,62,0.0027225424789155284
4018,691,987,7374,3,True,True,False,0.20122013284718768,0.03460505520094741,0.04942863890497119,0.3692875210590249,0.00015023902402726806,0.7001013171225937,14,0,21,0,30,0.0026615623432120605
1058,29,31,607,0,True,True,False,9.751926036116537,0.2673023204606612,0.2857369632510517,5.594914086883495,0.0,0.9354838709677419,13,0,17,0,9,0.0018231753946079733
1054,30,29,606,0,True,True,False,9.709885689280588,0.2763724579491628,0.26716004268419075,5.582723650573089,0.0,1.0344827586206897,8,0,15,0,13,0.0018818083028207993
3375,281,241,5820,1,True,True,False,0.1527611464056415,0.012718779893328966,0.010908277417410251,0.2634281102461729,4.526256189796785e-05,1.16597510373444,8,0,21,0,129,0.002050232374797294
